ReviewID,OrderMenuID,RatingID,ReviewDate,ReviewBody
1,1,4,2023-05-10,Very good! Would definitely try again.
2,2,1,2025-02-26,Worst meal Ive had in a while. Ingredients tasted stale.
3,3,2,2023-11-13,Service was okay but food was a letdown.
4,4,5,2023-02-21,Exceptional quality and taste. Will return soon.
5,5,1,2024-02-12,Very disappointed. The dish was bland and overcooked.
6,6,1,2023-12-05,Nothing was fresh. Left the restaurant feeling sick.
7,7,5,2023-07-07,One of the best meals Ive had. Highly recommend.
8,8,4,2023-02-18,Very good! Would definitely try again.
9,9,5,2024-12-01,Exceptional quality and taste. Will return soon.
10,10,4,2024-03-23,Food came out hot and delicious.
11,11,4,2025-02-01,Tasty and satisfying. Good portion size too.
12,12,2,2024-08-31,Below average. The pasta was dry and sauce too salty.
13,13,3,2024-08-07,"It was okay. Decent flavor, but not memorable."
14,14,4,2025-04-16,Very good! Would definitely try again.
15,15,1,2023-03-15,Worst meal Ive had in a while. Ingredients tasted stale.
16,16,1,2023-03-10,Terrible experience. Food was cold and lacked flavor.
17,17,2,2024-11-02,"The presentation was fine, but taste didnt follow through."
18,18,1,2024-02-10,Poor hygiene and undercooked food. Would not recommend.
19,19,2,2024-08-20,Could have been better. Missing key ingredients.
20,20,5,2024-06-07,Flawless service and delicious food. A+
21,21,5,2024-07-28,Flawless service and delicious food. A+
22,22,5,2023-12-08,One of the best meals Ive had. Highly recommend.
23,23,3,2024-01-07,Average experience. Nothing stood out.
24,24,1,2023-07-19,Nothing was fresh. Left the restaurant feeling sick.
25,25,5,2024-12-28,Exceptional quality and taste. Will return soon.
26,26,2,2023-07-24,"The presentation was fine, but taste didnt follow through."
27,27,4,2024-09-08,Enjoyed the experience. Service was fast.
28,28,1,2025-04-01,Terrible experience. Food was cold and lacked flavor.
29,29,5,2024-05-09,Absolutely amazing! Every bite was perfect.
30,30,5,2024-02-25,Exceptional quality and taste. Will return soon.
31,31,3,2023-06-10,"Neutral feelings. Food was fine, not amazing."
32,32,1,2025-04-07,Nothing was fresh. Left the restaurant feeling sick.
33,33,5,2025-02-27,Flawless service and delicious food. A+
34,34,3,2023-04-20,"Some dishes were good, others were underwhelming."
35,35,4,2023-01-08,Enjoyed the experience. Service was fast.
36,36,3,2024-07-09,"Acceptable taste, but could be improved."
37,37,3,2024-03-19,"Neutral feelings. Food was fine, not amazing."
38,38,3,2024-06-16,"Neutral feelings. Food was fine, not amazing."
39,39,2,2024-06-26,Below average. The pasta was dry and sauce too salty.
40,40,4,2024-07-07,Very good! Would definitely try again.
41,41,1,2023-10-19,Poor hygiene and undercooked food. Would not recommend.
42,42,4,2024-10-08,Enjoyed the experience. Service was fast.
43,43,5,2023-10-02,Perfect experience. Great flavors and friendly staff.
44,44,2,2025-01-30,Below average. The pasta was dry and sauce too salty.
45,45,4,2023-10-21,Food came out hot and delicious.
46,46,4,2023-06-13,Very good! Would definitely try again.
47,47,3,2025-03-15,"Neutral feelings. Food was fine, not amazing."
48,48,5,2023-03-29,Absolutely amazing! Every bite was perfect.
49,49,1,2024-01-29,Very disappointed. The dish was bland and overcooked.
50,50,1,2024-06-19,Poor hygiene and undercooked food. Would not recommend.
51,51,2,2024-06-03,Service was okay but food was a letdown.
52,52,5,2023-04-18,Flawless service and delicious food. A+
53,53,5,2023-07-25,Perfect experience. Great flavors and friendly staff.
54,54,5,2024-08-30,Exceptional quality and taste. Will return soon.
55,55,3,2025-01-31,"It was okay. Decent flavor, but not memorable."
56,56,4,2024-01-07,Enjoyed the experience. Service was fast.
57,57,5,2023-12-19,Exceptional quality and taste. Will return soon.
58,58,1,2023-08-02,Very disappointed. The dish was bland and overcooked.
59,59,5,2023-12-17,Perfect experience. Great flavors and friendly staff.
60,60,5,2025-02-28,Perfect experience. Great flavors and friendly staff.
61,61,4,2023-10-21,Enjoyed the experience. Service was fast.
62,62,4,2023-03-05,Very good! Would definitely try again.
63,63,2,2023-06-15,"The presentation was fine, but taste didnt follow through."
64,64,1,2024-04-14,Worst meal Ive had in a while. Ingredients tasted stale.
65,65,2,2023-05-31,"The presentation was fine, but taste didnt follow through."
66,66,5,2023-07-09,One of the best meals Ive had. Highly recommend.
67,67,1,2024-07-01,Nothing was fresh. Left the restaurant feeling sick.
68,68,4,2023-09-03,Tasty and satisfying. Good portion size too.
69,69,3,2024-04-26,"It was okay. Decent flavor, but not memorable."
70,70,1,2024-02-19,Nothing was fresh. Left the restaurant feeling sick.
71,71,2,2024-11-24,Could have been better. Missing key ingredients.
72,72,5,2023-02-21,Flawless service and delicious food. A+
73,73,1,2023-03-11,Worst meal Ive had in a while. Ingredients tasted stale.
74,74,5,2023-04-17,Exceptional quality and taste. Will return soon.
75,75,3,2023-01-02,"Neutral feelings. Food was fine, not amazing."
76,76,2,2025-02-16,Below average. The pasta was dry and sauce too salty.
77,77,3,2023-03-07,"Acceptable taste, but could be improved."
78,78,3,2023-04-06,"Some dishes were good, others were underwhelming."
79,79,2,2023-12-03,Could have been better. Missing key ingredients.
80,80,2,2023-03-19,Below average. The pasta was dry and sauce too salty.
81,81,4,2024-05-05,Very good! Would definitely try again.
82,82,3,2023-07-29,"It was okay. Decent flavor, but not memorable."
83,83,4,2023-05-14,Food came out hot and delicious.
84,84,3,2024-09-24,"It was okay. Decent flavor, but not memorable."
85,85,1,2025-01-07,Poor hygiene and undercooked food. Would not recommend.
86,86,1,2023-05-16,Worst meal Ive had in a while. Ingredients tasted stale.
87,87,5,2023-12-20,Absolutely amazing! Every bite was perfect.
88,88,3,2024-11-28,Average experience. Nothing stood out.
89,89,4,2025-02-01,Very good! Would definitely try again.
90,90,3,2023-01-03,"Neutral feelings. Food was fine, not amazing."
91,91,1,2025-04-11,Nothing was fresh. Left the restaurant feeling sick.
92,92,5,2025-02-02,One of the best meals Ive had. Highly recommend.
93,93,1,2025-01-20,Very disappointed. The dish was bland and overcooked.
94,94,3,2024-11-02,"Neutral feelings. Food was fine, not amazing."
95,95,2,2024-11-10,Not great. Meal was served lukewarm and lacked seasoning.
96,96,4,2024-10-01,Nice flavors and well-balanced seasoning.
97,97,4,2025-03-28,Very good! Would definitely try again.
98,98,2,2024-07-27,Below average. The pasta was dry and sauce too salty.
99,99,1,2023-06-02,Nothing was fresh. Left the restaurant feeling sick.
100,100,1,2024-04-02,Worst meal Ive had in a while. Ingredients tasted stale.
101,101,5,2023-10-22,Perfect experience. Great flavors and friendly staff.
102,102,5,2025-04-13,Absolutely amazing! Every bite was perfect.
103,103,4,2024-05-24,Enjoyed the experience. Service was fast.
104,104,5,2023-04-01,Absolutely amazing! Every bite was perfect.
105,105,1,2025-03-07,Worst meal Ive had in a while. Ingredients tasted stale.
106,106,1,2023-12-12,Nothing was fresh. Left the restaurant feeling sick.
107,107,5,2024-01-07,Perfect experience. Great flavors and friendly staff.
108,108,4,2024-09-15,Tasty and satisfying. Good portion size too.
109,109,2,2023-03-01,Below average. The pasta was dry and sauce too salty.
110,110,2,2024-09-22,Service was okay but food was a letdown.
111,111,3,2023-07-17,"Neutral feelings. Food was fine, not amazing."
112,112,2,2023-12-31,Not great. Meal was served lukewarm and lacked seasoning.
113,113,5,2023-03-24,One of the best meals Ive had. Highly recommend.
114,114,4,2024-10-23,Food came out hot and delicious.
115,115,1,2024-12-01,Worst meal Ive had in a while. Ingredients tasted stale.
116,116,2,2025-01-15,Service was okay but food was a letdown.
117,117,2,2023-09-10,Not great. Meal was served lukewarm and lacked seasoning.
118,118,5,2023-03-23,Absolutely amazing! Every bite was perfect.
119,119,5,2023-11-02,One of the best meals Ive had. Highly recommend.
120,120,3,2023-11-30,"Neutral feelings. Food was fine, not amazing."
121,121,2,2023-05-06,Could have been better. Missing key ingredients.
122,122,4,2024-12-25,Tasty and satisfying. Good portion size too.
123,123,2,2023-11-15,"The presentation was fine, but taste didnt follow through."
124,124,1,2023-06-30,Poor hygiene and undercooked food. Would not recommend.
125,125,4,2024-03-19,Very good! Would definitely try again.
126,126,3,2023-04-30,"It was okay. Decent flavor, but not memorable."
127,127,1,2023-03-27,Terrible experience. Food was cold and lacked flavor.
128,128,2,2024-04-06,Not great. Meal was served lukewarm and lacked seasoning.
129,129,2,2024-04-09,Service was okay but food was a letdown.
130,130,2,2024-02-27,Not great. Meal was served lukewarm and lacked seasoning.
131,131,1,2023-09-19,Worst meal Ive had in a while. Ingredients tasted stale.
132,132,5,2025-04-07,Exceptional quality and taste. Will return soon.
133,133,5,2024-09-03,Perfect experience. Great flavors and friendly staff.
134,134,4,2024-12-28,Tasty and satisfying. Good portion size too.
135,135,2,2023-05-05,"The presentation was fine, but taste didnt follow through."
136,136,2,2024-09-18,Could have been better. Missing key ingredients.
137,137,5,2024-02-27,Flawless service and delicious food. A+
138,138,1,2023-06-23,Nothing was fresh. Left the restaurant feeling sick.
139,139,1,2024-09-14,Worst meal Ive had in a while. Ingredients tasted stale.
140,140,3,2023-01-17,"Neutral feelings. Food was fine, not amazing."
141,141,1,2024-03-31,Very disappointed. The dish was bland and overcooked.
142,142,4,2024-03-06,Nice flavors and well-balanced seasoning.
143,143,3,2023-03-04,"It was okay. Decent flavor, but not memorable."
144,144,2,2024-02-02,"The presentation was fine, but taste didnt follow through."
145,145,1,2023-07-08,Nothing was fresh. Left the restaurant feeling sick.
146,146,5,2023-11-12,Flawless service and delicious food. A+
147,147,3,2024-03-19,"It was okay. Decent flavor, but not memorable."
148,148,2,2025-04-14,Not great. Meal was served lukewarm and lacked seasoning.
149,149,2,2024-07-23,Below average. The pasta was dry and sauce too salty.
150,150,4,2023-10-24,Nice flavors and well-balanced seasoning.
151,151,3,2025-02-13,"Acceptable taste, but could be improved."
152,152,4,2023-01-23,Nice flavors and well-balanced seasoning.
153,153,5,2025-03-09,Perfect experience. Great flavors and friendly staff.
154,154,1,2023-06-10,Terrible experience. Food was cold and lacked flavor.
155,155,4,2023-09-03,Tasty and satisfying. Good portion size too.
156,156,5,2023-08-16,Perfect experience. Great flavors and friendly staff.
157,157,4,2025-02-16,Nice flavors and well-balanced seasoning.
158,158,1,2025-04-09,Poor hygiene and undercooked food. Would not recommend.
159,159,5,2023-10-01,Absolutely amazing! Every bite was perfect.
160,160,1,2024-05-16,Very disappointed. The dish was bland and overcooked.
161,161,3,2024-10-27,"It was okay. Decent flavor, but not memorable."
162,162,5,2023-08-11,One of the best meals Ive had. Highly recommend.
163,163,4,2025-03-17,Very good! Would definitely try again.
164,164,5,2023-01-08,One of the best meals Ive had. Highly recommend.
165,165,4,2024-04-21,Nice flavors and well-balanced seasoning.
166,166,5,2024-05-15,Perfect experience. Great flavors and friendly staff.
167,167,2,2024-11-04,Below average. The pasta was dry and sauce too salty.
168,168,1,2024-04-04,Nothing was fresh. Left the restaurant feeling sick.
169,169,3,2024-09-02,"Acceptable taste, but could be improved."
170,170,2,2024-05-12,Could have been better. Missing key ingredients.
171,171,4,2023-05-11,Very good! Would definitely try again.
172,172,2,2023-11-07,Could have been better. Missing key ingredients.
173,173,5,2023-01-20,One of the best meals Ive had. Highly recommend.
174,174,1,2023-08-29,Very disappointed. The dish was bland and overcooked.
175,175,5,2024-08-20,One of the best meals Ive had. Highly recommend.
176,176,1,2023-01-29,Nothing was fresh. Left the restaurant feeling sick.
177,177,5,2024-07-02,Flawless service and delicious food. A+
178,178,3,2023-04-01,Average experience. Nothing stood out.
179,179,2,2023-01-14,Below average. The pasta was dry and sauce too salty.
180,180,4,2024-12-02,Very good! Would definitely try again.
181,181,5,2024-08-29,One of the best meals Ive had. Highly recommend.
182,182,1,2024-09-05,Worst meal Ive had in a while. Ingredients tasted stale.
183,183,1,2024-02-14,Poor hygiene and undercooked food. Would not recommend.
184,184,5,2024-12-19,One of the best meals Ive had. Highly recommend.
185,185,4,2024-02-21,Tasty and satisfying. Good portion size too.
186,186,1,2024-01-24,Very disappointed. The dish was bland and overcooked.
187,187,4,2023-09-20,Very good! Would definitely try again.
188,188,3,2023-04-14,"Neutral feelings. Food was fine, not amazing."
